id,web_url,pub_date,document_type,headline,snippet,word_count,president,headline_length,snippet_length,set,coder_A,coder_B,sentiment_A,sentiment_B,agreement,sentiment_agreement
4937,https://www.nytimes.com/2017/06/27/business/china-li-keqiang-summer-davos-trade.html,2017-06-27,article,"China’s Premier, Li Keqiang, Praises Free Trade, in Contrast to Trump","The Chinese official warned the World Economic Forum in Dalian, China, against “unilateral rules” but didn’t say how his country might lower its own trade barriers.",921,Donald Trump,69,164.0,1,F. G.,B. F.,neutral,positive,0,
4955,https://www.nytimes.com/2017/06/28/us/politics/white-house-warning-syria-chemical-attack-officials-says.html,2017-06-29,article,"White House Warning Halted Syria Chemical Attack, Officials Say","Defense Secretary Jim Mattis noted the lack of a strike in the two days since the warning, which threatened that Syria’s president would “pay a heavy price” if he used the weapons.",525,Donald Trump,63,180.0,1,F. G.,B. F.,negative,negative,1,negative
1756,https://www.nytimes.com/2021/09/30/us/politics/infrastructure-democrats-pelosi.html,2021-10-01,article,House Delays Vote on Infrastructure Bill as Democrats Feud,"A liberal revolt left Democrats short of votes, but leaders insisted they would bring up the measure again on Friday, giving them more time to reach a deal on a separate climate and safety net bill.",1571,Joe Biden,58,198.0,1,F. G.,B. F.,negative,negative,1,negative
1719,https://www.nytimes.com/2021/09/24/us/arizona-election-review-trump-biden.html,2021-09-24,article,Republican Review of Arizona Vote Fails to Show Stolen Election,"The criticized review showed much the same results as in November, with 99 more Biden votes and 261 fewer Trump ones.",1469,Joe Biden,63,117.0,1,F. G.,B. F.,negative,neutral,0,
136,https://www.nytimes.com/2021/01/28/opinion/joe-biden-irish-ireland.html,2021-01-28,article,"Joe Biden, the Irishman",The president’s heritage is important to him. But how deep does it go?,1057,Joe Biden,23,70.0,1,F. G.,B. F.,neutral,neutral,1,neutral
344,https://www.nytimes.com/2021/02/27/us/politics/stimulus-biden-senate-coronavirus.html,2021-02-27,article,Biden Agenda Faces Difficult Test as Stimulus Measure Heads to Senate,"The $1.9 trillion pandemic aid bill narrowly passed the House, but now must maneuver through a procedural and political thicket in the Senate.",1549,Joe Biden,69,142.0,1,F. G.,B. F.,negative,negative,1,negative
725,https://www.nytimes.com/2021/04/15/business/economy/infrastructure-economy-biden.html,2021-04-15,article,Voters Like Biden Infrastructure Plan; G.O.P. Still Sees an Opening on Taxes,"A Times poll shows large majorities back spending on roads, ports, broadband and more. But Republicans aim to make corporate tax increases the issue.",1422,Joe Biden,76,149.0,1,F. G.,B. F.,positive,neutral,0,
5922,https://www.nytimes.com/2017/09/10/us/trump-voter-fraud-panel.html,2017-09-10,article,"Trump’s Voter Fraud Panel, No Stranger to Controversy, Creates Another One","Ahead of a meeting in New Hampshire, a member of the panel called it “highly likely” that the state’s Senate race was decided with bogus votes. Outrage ensues.",888,Donald Trump,74,159.0,1,F. G.,B. F.,negative,negative,1,negative
2010,https://www.nytimes.com/2021/11/23/arts/television/jimmy-fallon-biden-birthday.html,2021-11-23,article,Late Night Celebrates Biden’s 79th Birthday,"Jimmy Fallon joked that when the president blew out his candles, “everyone started clapping and the lights went on and off.”",398,Joe Biden,43,124.0,1,F. G.,B. F.,positive,positive,1,positive
4760,https://www.nytimes.com/2017/06/09/opinion/trump-speaks.html,2017-06-09,article,Trump Speaks!,And — surprise — casts himself as the aggrieved.,460,Donald Trump,13,48.0,1,F. G.,B. F.,negative,negative,1,negative
